date,total_mln_usd,fx_mln_usd,gold_mln_usd
2021-01-01,595774.0,457020.0,138754.0
2021-02-01,590685.0,453900.0,136785.0
2021-03-01,586266.0,455963.0,130304.0
2021-04-01,573322.0,448035.0,125287.0
2021-05-01,590476.0,459622.0,130855.0
2021-06-01,605232.0,465733.0,139499.0
2021-07-01,591745.0,461306.0,130440.0
2021-08-01,601003.0,466129.0,134874.0
2021-09-01,618181.0,485484.0,132697.0
2021-10-01,614122.0,485464.0,128658.0
2021-11-01,624237.0,491378.0,132859.0
2021-12-01,622501.0,489762.0,132739.0
2022-01-01,630627.0,497557.0,133070.0
2022-02-01,630207.0,497951.0,132256.0
2022-03-01,617133.0,475898.0,141235.0
2022-04-01,606409.0,464328.0,142081.0
2022-05-01,593052.0,452066.0,140986.0
2022-06-01,587423.0,449268.0,138155.0
2022-07-01,584121.0,448221.0,135900.0
2022-08-01,576904.0,445749.0,131155.0
2022-09-01,565660.0,434604.0,131056.0
2022-10-01,540688.0,416938.0,123750.0
2022-11-01,547194.0,422772.0,124423.0
2022-12-01,567289.0,436291.0,130998.0
2023-01-01,581989.0,445912.0,136077.0
2023-02-01,597035.0,453093.0,143942.0
2023-03-01,574247.0,438683.0,135564.0
2023-04-01,593879.0,446868.0,147011.0
2023-05-01,595787.0,447187.0,148599.0
2023-06-01,584175.0,438344.0,145832.0
2023-07-01,582418.0,439503.0,142915.0
2023-08-01,589966.0,444183.0,145783.0
2023-09-01,581659.0,436921.0,144738.0
2023-10-01,569021.0,428522.0,140499.0
2023-11-01,576083.0,427402.0,148680.0
2023-12-01,592352.0,440475.0,151878.0
2024-01-01,598592.0,442734.0,155858.0
2024-02-01,585448.0,433931.0,151516.0
2024-03-01,582636.0,430115.0,152521.0
2024-04-01,590374.0,424335.0,166039.0
2024-05-01,597911.0,422015.0,175896.0
2024-06-01,599040.0,423163.0,175877.0
2024-07-01,593498.0,418972.0,174527.0
2024-08-01,602050.0,422457.0,179593.0
2024-09-01,613715.0,424901.0,188814.0
2024-10-01,633737.0,433973.0,199764.0
2024-11-01,631573.0,423874.0,207699.0
2024-12-01,616486.0,418342.0,198144.0
2025-01-01,609068.0,413361.0,195707.0
2025-02-01,620764.0,414239.0,206526.0
2025-03-01,632355.0,414971.0,217384.0
2025-04-01,647358.0,418407.0,228950.0
2025-05-01,680271.0,433234.0,247036.0
2025-06-01,680379.0,432168.0,248211.0
2025-07-01,688731.0,440012.0,248719.0
2025-08-01,681489.0,432970.0,248519.0
2025-09-01,689458.0,434486.0,254971.0
2025-10-01,713301.0,431087.0,282213.0
2025-11-01,725841.0,426020.0,299821.0
2025-12-01,734588.0,423867.0,310720.0
2026-01-01,754853.0,428317.0,326537.0
2026-02-01,833572.0,430867.0,402706.0
2026-03-01,809308.0,425283.0,384025.0
2026-04-01,748984.0,415015.0,333968.0
2026-05-01,758678.0,421157.0,337521.0
2026-06-01,747395.0,421524.0,325872.0
2026-07-01,720447.0,421457.0,298991.0
